subscription_id,customer_id,plan_id,seats,billing_interval,mrr,started_at,ended_at,status,cancellation_reason
88,83,1,8,monthly,0.00,2025-03-27,2026-01-14,cancelled,missing_features
89,84,1,2,monthly,0.00,2026-06-22,2026-08-30,cancelled,internal_tool
90,85,3,9,annual,742.50,2023-08-05,,active,
91,86,2,13,annual,639.17,2024-12-03,,active,
92,87,3,7,monthly,0.00,2024-09-12,2025-02-23,cancelled,low_adoption
93,88,3,351,annual,28957.50,2025-04-01,,active,
94,89,4,69,annual,8567.50,2025-02-04,,active,
95,90,1,5,monthly,0.00,2024-11-20,2026-05-14,cancelled,company_closed
96,91,4,110,annual,13658.33,2023-07-16,,active,
97,92,3,10,monthly,0.00,2023-08-21,2024-12-11,cancelled,low_adoption
98,93,4,88,annual,10926.67,2023-01-07,,active,
99,94,4,202,annual,25081.67,2024-05-07,,active,
100,95,4,228,annual,28310.00,2025-02-07,,active,
101,96,1,8,monthly,232.00,2023-08-10,,active,
102,97,4,290,annual,36008.33,2023-11-19,,active,
103,98,1,6,monthly,174.00,2024-11-22,,active,
104,99,3,9,monthly,891.00,2026-05-30,,active,
105,100,2,3,monthly,0.00,2024-09-05,2026-05-22,cancelled,low_adoption
106,101,4,219,annual,27192.50,2024-12-13,,active,
107,102,4,105,annual,13037.50,2025-11-24,,active,
108,103,3,11,monthly,1089.00,2025-12-16,,active,
109,104,3,6,monthly,0.00,2023-07-24,2024-06-11,cancelled,low_adoption
110,105,2,21,monthly,0.00,2025-08-11,2025-10-28,cancelled,competitor
111,106,1,4,monthly,116.00,2024-08-15,,active,
112,107,3,18,monthly,1782.00,2025-05-15,,active,
113,108,1,9,monthly,0.00,2026-02-18,2026-05-23,cancelled,competitor
114,109,1,10,monthly,290.00,2025-05-22,,active,
115,110,2,10,monthly,0.00,2024-09-09,2026-06-13,cancelled,missing_features
116,111,2,15,monthly,885.00,2025-04-12,,active,
117,112,4,13,annual,1614.17,2024-03-30,,active,
118,113,4,102,annual,12665.00,2026-04-11,,active,
119,114,1,4,monthly,0.00,2024-06-11,2024-09-19,cancelled,price
120,115,2,11,annual,0.00,2024-08-02,2025-07-29,cancelled,internal_tool
121,116,3,14,monthly,1386.00,2025-11-03,,active,
122,117,3,22,monthly,2178.00,2025-01-31,,active,
123,118,4,805,annual,99954.17,2024-09-02,,active,
124,119,4,229,annual,28434.17,2025-01-27,,active,
125,120,4,23,annual,2855.83,2024-05-13,,active,
126,121,1,10,monthly,290.00,2026-03-08,,active,
127,122,4,330,annual,40975.00,2024-04-17,,active,
128,123,1,9,monthly,261.00,2025-02-09,,active,
129,124,1,10,monthly,290.00,2026-05-28,,active,
130,125,1,8,monthly,0.00,2024-10-24,2026-04-10,cancelled,internal_tool
131,126,1,9,monthly,261.00,2026-02-12,,active,
132,127,1,9,monthly,0.00,2024-06-08,2024-12-16,cancelled,competitor
133,128,4,35,annual,4345.83,2023-12-05,,active,
134,129,4,102,annual,12665.00,2026-02-18,,active,
135,130,1,4,monthly,116.00,2026-05-23,,active,
136,131,1,8,monthly,232.00,2025-01-31,,active,
137,132,1,6,monthly,0.00,2025-01-07,2025-12-13,cancelled,missing_features
138,133,2,35,annual,1720.83,2024-12-03,,active,
139,134,1,6,monthly,174.00,2025-07-13,,active,
140,135,3,662,annual,54615.00,2024-09-11,,active,
141,136,2,8,monthly,0.00,2026-02-17,2026-08-18,cancelled,low_adoption
142,137,2,9,monthly,0.00,2025-12-29,2026-03-16,cancelled,competitor
143,138,1,3,monthly,87.00,2026-04-25,,active,
144,139,4,34,annual,4221.67,2025-07-21,,active,
145,140,4,108,annual,13410.00,2025-01-17,,active,
146,141,4,3,annual,372.50,2023-10-30,,active,
147,142,2,18,monthly,1062.00,2026-07-05,,active,
148,143,1,3,monthly,87.00,2026-03-24,,active,
149,144,3,22,annual,1815.00,2023-05-02,,active,
150,145,1,10,monthly,0.00,2023-01-04,2023-06-02,cancelled,low_adoption
151,146,3,27,annual,2227.50,2026-01-17,,active,
152,147,2,4,monthly,236.00,2023-02-08,,active,
153,148,2,10,monthly,590.00,2023-02-10,,active,
154,149,2,33,annual,0.00,2024-04-15,2025-12-03,cancelled,competitor
155,150,4,54,annual,6705.00,2024-10-04,,active,
156,151,2,5,monthly,0.00,2025-07-05,2025-09-24,cancelled,price
157,152,2,4,monthly,236.00,2024-01-23,,active,
158,153,1,10,monthly,0.00,2023-10-29,2024-11-16,cancelled,low_adoption
159,154,1,2,monthly,0.00,2026-03-11,2026-05-25,cancelled,internal_tool
160,155,2,6,monthly,0.00,2024-09-09,2025-11-06,cancelled,low_adoption
161,156,4,8,annual,993.33,2025-03-21,,active,
162,157,4,293,annual,36380.83,2025-12-22,,active,
163,158,1,10,monthly,0.00,2026-05-21,2026-07-28,cancelled,internal_tool
164,159,2,15,annual,737.50,2025-10-04,,active,
165,160,1,6,monthly,174.00,2025-08-24,,active,
166,161,2,9,monthly,531.00,2026-06-25,,active,
167,162,1,10,monthly,0.00,2026-01-16,2026-08-26,cancelled,price
168,163,2,27,annual,0.00,2024-10-06,2025-05-02,cancelled,price
169,164,1,10,monthly,290.00,2025-04-13,,active,
170,165,3,235,annual,19387.50,2024-11-02,,active,
171,166,2,6,monthly,0.00,2025-04-09,2025-12-23,cancelled,low_adoption
172,167,3,19,annual,0.00,2024-09-30,2025-03-12,cancelled,low_adoption
173,168,3,8,annual,0.00,2025-02-12,2026-08-23,cancelled,price
174,169,1,10,monthly,290.00,2025-03-26,,active,
175,170,3,8,monthly,0.00,2025-06-12,2026-02-01,cancelled,low_adoption
176,171,1,10,monthly,0.00,2024-05-22,2025-02-15,cancelled,competitor
177,172,1,10,monthly,290.00,2022-12-07,,active,
178,173,3,48,monthly,0.00,2025-06-29,2026-07-31,cancelled,company_closed
179,174,1,10,monthly,290.00,2026-08-10,,active,
180,175,2,25,monthly,0.00,2023-07-15,2024-03-16,cancelled,internal_tool
181,175,2,17,monthly,0.00,2024-06-16,2025-05-06,cancelled,low_adoption
182,176,4,251,annual,31165.83,2023-10-18,,active,
183,177,3,16,monthly,1584.00,2026-07-30,,active,
184,178,1,8,monthly,232.00,2024-08-05,,active,
185,179,2,2,monthly,0.00,2022-08-12,2022-12-10,cancelled,price
186,180,1,2,monthly,58.00,2026-08-18,,active,
187,181,2,27,monthly,1593.00,2026-04-30,,active,
188,182,4,591,annual,73382.50,2023-08-05,,active,
189,183,4,30,annual,3725.00,2022-09-26,,active,
190,184,1,7,monthly,0.00,2024-08-08,2024-11-25,cancelled,low_adoption
191,185,2,18,monthly,1062.00,2024-10-14,,active,
192,186,4,290,annual,36008.33,2026-03-17,,active,
193,187,3,101,annual,8332.50,2025-03-27,,active,
194,188,2,10,monthly,590.00,2026-02-04,,active,
195,189,4,26,annual,3228.33,2023-07-18,,active,
196,190,1,10,monthly,0.00,2024-12-18,2025-02-02,cancelled,price
197,191,3,12,annual,0.00,2025-03-17,2025-06-02,cancelled,low_adoption
198,192,3,75,annual,0.00,2024-02-04,2024-05-30,cancelled,competitor
199,193,1,6,monthly,0.00,2024-05-28,2025-05-04,cancelled,missing_features
200,194,4,377,annual,0.00,2022-12-31,2025-05-12,cancelled,low_adoption
201,194,3,376,annual,0.00,2025-12-26,2026-06-08,cancelled,low_adoption
202,195,3,9,annual,742.50,2026-05-26,,active,
203,196,3,4,monthly,0.00,2023-01-07,2024-04-18,cancelled,low_adoption
204,197,2,37,monthly,0.00,2022-11-04,2023-09-15,cancelled,missing_features
205,198,1,4,monthly,116.00,2026-07-14,,active,
206,199,2,4,annual,0.00,2025-11-30,2026-01-21,cancelled,price
207,199,2,2,monthly,118.00,2026-05-14,,active,
208,200,3,146,annual,12045.00,2026-08-13,,active,
209,201,2,10,monthly,590.00,2024-03-01,,active,
210,202,1,7,monthly,203.00,2026-08-20,,active,
211,203,2,14,annual,688.33,2024-09-01,,active,
212,204,2,8,monthly,472.00,2026-06-04,,active,
213,205,2,9,monthly,531.00,2025-05-01,,active,
214,206,4,153,annual,18997.50,2026-04-26,,active,
215,207,3,11,monthly,0.00,2022-12-13,2023-08-15,cancelled,internal_tool
216,208,2,20,monthly,1180.00,2026-03-23,,active,
217,209,1,8,monthly,0.00,2023-10-18,2025-07-04,cancelled,competitor
218,210,2,3,monthly,177.00,2026-07-03,,active,
219,211,1,2,monthly,58.00,2024-08-09,,active,
220,212,4,495,annual,61462.50,2023-03-21,,active,
221,213,4,209,annual,25950.83,2024-07-16,,active,
222,214,3,21,annual,1732.50,2025-01-30,,active,
223,215,1,7,monthly,203.00,2023-10-13,,active,
224,216,3,159,annual,13117.50,2026-07-14,,active,
225,217,3,5,monthly,495.00,2026-06-23,,active,
226,218,3,4,monthly,396.00,2024-09-08,,active,
227,219,3,11,monthly,1089.00,2024-12-25,,active,
228,220,3,15,monthly,1485.00,2026-03-08,,active,
229,221,4,105,annual,13037.50,2025-10-29,,active,
230,222,4,186,annual,23095.00,2023-12-15,,active,
231,223,4,9,annual,1117.50,2024-09-16,,active,
232,224,3,12,monthly,1188.00,2024-10-24,,active,
233,225,4,19,annual,2359.17,2025-10-07,,active,
234,226,1,7,monthly,203.00,2025-07-12,,active,
235,227,2,6,annual,295.00,2025-05-06,,active,
236,228,2,22,annual,1081.67,2026-03-10,,active,
237,229,2,12,monthly,0.00,2024-02-11,2024-06-30,cancelled,price
238,230,4,20,annual,0.00,2023-09-28,2024-10-14,cancelled,low_adoption
239,231,2,10,annual,0.00,2023-11-14,2024-05-25,cancelled,low_adoption
240,232,2,10,monthly,590.00,2024-04-18,,active,
241,233,2,5,annual,245.83,2026-04-25,,active,
242,234,3,3,monthly,297.00,2025-08-01,,active,
243,235,2,49,monthly,2891.00,2025-08-30,,active,
244,236,2,18,annual,885.00,2024-05-15,,active,
245,237,3,307,annual,25327.50,2023-07-08,,active,
246,238,2,35,annual,1720.83,2024-05-25,,active,
247,239,3,168,annual,13860.00,2026-02-17,,active,
248,240,3,19,monthly,0.00,2023-12-27,2024-02-14,cancelled,low_adoption
249,241,3,24,annual,0.00,2023-05-18,2024-01-06,cancelled,price
250,242,2,3,monthly,177.00,2026-06-01,,active,
251,243,2,11,monthly,649.00,2026-05-08,,active,
252,244,1,9,monthly,0.00,2024-12-22,2025-04-11,cancelled,company_closed
253,244,1,8,monthly,232.00,2025-10-25,,active,
254,245,3,755,annual,62287.50,2025-05-10,,active,
255,246,3,50,annual,4125.00,2024-06-01,,active,
256,247,2,31,annual,1524.17,2026-06-24,,active,
257,248,2,4,monthly,0.00,2022-12-01,2023-09-24,cancelled,price
258,249,4,11,annual,1365.83,2022-08-02,,active,
259,250,1,10,monthly,290.00,2026-06-01,,active,
260,251,4,12,annual,1490.00,2025-04-30,,active,
261,252,2,6,monthly,354.00,2026-04-30,,active,
262,253,4,15,annual,1862.50,2025-09-06,,active,
263,254,1,7,monthly,0.00,2026-02-19,2026-04-20,cancelled,price
264,255,1,10,monthly,0.00,2024-03-10,2024-12-01,cancelled,missing_features
265,256,3,6,monthly,594.00,2023-05-28,,active,
266,257,2,11,annual,540.83,2025-02-07,,active,
267,258,3,8,monthly,792.00,2025-08-20,,active,
268,259,3,50,annual,4125.00,2025-01-13,,active,
269,260,2,11,monthly,649.00,2026-02-26,,active,
270,261,1,2,monthly,58.00,2024-07-10,,active,
271,262,1,4,monthly,116.00,2026-04-03,,active,
272,263,1,2,monthly,0.00,2025-08-16,2025-10-04,cancelled,low_adoption
273,264,2,27,monthly,1593.00,2022-10-06,,active,
274,265,2,6,monthly,354.00,2026-06-27,,active,
275,266,1,10,monthly,0.00,2024-12-13,2026-07-04,cancelled,low_adoption
276,267,3,42,annual,0.00,2025-01-28,2026-07-18,cancelled,internal_tool
277,268,3,14,monthly,0.00,2023-06-26,2025-12-09,cancelled,low_adoption
278,269,4,7,annual,869.17,2025-02-14,,active,
279,270,2,28,annual,1376.67,2024-10-26,,active,
280,271,3,30,monthly,2970.00,2023-08-25,,active,
281,272,4,686,annual,0.00,2025-02-25,2025-04-17,cancelled,missing_features
282,273,3,9,monthly,891.00,2026-04-13,,active,
283,274,3,14,annual,1155.00,2025-04-20,,active,
284,275,2,5,annual,245.83,2026-06-04,,active,
285,276,1,3,monthly,87.00,2026-03-07,,active,
286,277,4,18,annual,2235.00,2026-08-01,,active,
287,278,3,436,annual,35970.00,2025-11-24,,active,
288,279,1,6,monthly,0.00,2024-02-14,2024-09-26,cancelled,internal_tool
289,280,1,10,monthly,0.00,2024-11-13,2025-05-12,cancelled,internal_tool
290,281,2,4,monthly,236.00,2024-06-25,,active,
291,282,1,7,monthly,203.00,2026-07-30,,active,
292,283,1,8,monthly,0.00,2024-01-13,2025-10-26,cancelled,low_adoption
293,284,2,4,monthly,0.00,2022-10-04,2024-05-12,cancelled,missing_features
294,285,2,50,annual,2458.33,2025-05-01,,active,
295,286,2,19,monthly,1121.00,2025-10-28,,active,
296,287,1,7,monthly,0.00,2026-05-24,2026-07-08,cancelled,price
297,288,3,24,annual,1980.00,2025-05-26,,active,
298,289,2,10,monthly,0.00,2024-11-16,2026-07-12,cancelled,competitor
299,290,3,9,annual,742.50,2025-05-03,,active,
300,291,2,22,annual,1081.67,2025-09-25,,active,
301,292,3,16,annual,0.00,2023-12-04,2025-12-27,cancelled,low_adoption
302,293,2,13,annual,639.17,2024-09-09,,active,
303,294,1,6,monthly,0.00,2023-07-04,2025-07-05,cancelled,company_closed
304,295,1,5,monthly,145.00,2025-05-09,,active,
305,296,1,6,monthly,0.00,2024-10-12,2025-03-15,cancelled,missing_features
306,296,1,4,monthly,116.00,2025-09-21,,active,
307,297,3,9,monthly,891.00,2026-07-07,,active,
308,298,3,10,monthly,990.00,2023-09-18,,active,
309,299,2,49,annual,2409.17,2025-01-06,,active,
310,300,2,29,annual,1425.83,2024-07-09,,active,
311,301,4,288,annual,35760.00,2023-07-03,,active,
312,302,2,8,monthly,0.00,2025-03-20,2025-09-19,cancelled,low_adoption
313,303,2,10,monthly,590.00,2022-10-26,,active,
314,304,4,55,annual,6829.17,2022-10-02,,active,
315,305,1,8,monthly,0.00,2024-09-06,2024-12-31,cancelled,competitor
316,306,2,13,annual,639.17,2026-07-17,,active,
317,307,1,8,monthly,232.00,2026-06-10,,active,
318,308,2,5,monthly,295.00,2025-04-27,,active,
319,309,2,9,annual,442.50,2026-01-27,,active,
320,310,3,68,annual,5610.00,2025-07-19,,active,
321,311,2,20,annual,983.33,2025-08-09,,active,
322,312,4,55,annual,6829.17,2026-03-02,,active,
323,313,3,12,monthly,1188.00,2023-04-07,,active,
324,314,2,43,annual,2114.17,2025-07-06,,active,
325,315,1,10,monthly,0.00,2023-11-16,2024-09-09,cancelled,competitor
326,316,1,3,monthly,0.00,2023-01-08,2026-05-13,cancelled,missing_features
327,317,1,2,monthly,0.00,2024-10-13,2024-12-08,cancelled,competitor
328,318,3,9,monthly,0.00,2024-07-20,2025-02-26,cancelled,competitor
329,319,1,8,monthly,0.00,2024-11-29,2026-07-26,cancelled,price
330,320,3,9,annual,742.50,2024-07-16,,active,
331,321,2,9,monthly,531.00,2024-11-07,,active,
332,322,4,23,annual,2855.83,2023-10-21,,active,
333,323,3,26,monthly,2574.00,2025-11-13,,active,
334,324,4,198,annual,24585.00,2026-01-02,,active,
335,325,4,14,annual,1738.33,2025-12-14,,active,
336,326,3,27,annual,2227.50,2025-07-01,,active,
337,327,4,32,annual,0.00,2026-02-22,2026-06-05,cancelled,price
338,328,2,4,monthly,0.00,2023-01-10,2026-01-14,cancelled,low_adoption
339,329,2,19,monthly,0.00,2024-11-20,2025-04-21,cancelled,price
340,330,4,4,annual,496.67,2024-01-01,,active,
341,331,4,150,annual,18625.00,2026-05-25,,active,
342,332,4,28,annual,3476.67,2026-03-11,,active,
343,333,2,15,annual,737.50,2026-07-12,,active,
344,334,4,72,annual,8940.00,2023-04-06,,active,
345,335,1,7,monthly,0.00,2025-08-01,2026-03-26,cancelled,low_adoption
346,336,1,5,monthly,145.00,2026-08-20,,active,
347,337,3,57,annual,4702.50,2025-11-13,,active,
348,338,1,10,monthly,0.00,2024-02-14,2026-03-16,cancelled,missing_features
349,339,1,3,monthly,87.00,2025-06-28,,active,
350,340,2,5,monthly,0.00,2024-02-29,2024-06-16,cancelled,low_adoption
351,341,4,59,annual,0.00,2025-01-11,2025-08-07,cancelled,competitor
352,342,4,157,annual,19494.17,2025-06-05,,active,
353,343,4,332,annual,41223.33,2026-01-03,,active,
354,344,1,3,monthly,87.00,2023-04-02,,active,
355,345,4,670,annual,83191.67,2025-01-21,,active,
356,346,4,215,annual,0.00,2023-09-10,2024-11-07,cancelled,price
357,346,4,168,annual,20860.00,2025-07-12,,active,
358,347,2,6,monthly,0.00,2025-03-05,2025-07-10,cancelled,low_adoption
359,348,3,9,monthly,891.00,2024-07-15,,active,
360,349,4,45,annual,5587.50,2026-07-18,,active,
361,350,4,33,annual,4097.50,2025-12-05,,active,
362,351,1,4,monthly,116.00,2025-05-20,,active,
363,352,1,6,monthly,0.00,2023-09-05,2024-08-18,cancelled,competitor
364,353,1,10,monthly,290.00,2025-11-17,,active,
365,354,2,7,monthly,413.00,2026-06-08,,active,
366,355,1,9,monthly,0.00,2026-01-30,2026-07-29,cancelled,missing_features
367,356,2,50,annual,2458.33,2024-03-12,,active,
368,357,1,10,monthly,290.00,2025-06-16,,active,
369,358,2,13,annual,0.00,2022-12-17,2024-07-01,cancelled,missing_features
370,359,4,16,annual,1986.67,2022-07-26,,active,
371,360,3,7,annual,577.50,2024-12-29,,active,
372,361,1,4,monthly,116.00,2026-05-17,,active,
373,362,3,4,monthly,0.00,2024-07-03,2025-09-10,cancelled,low_adoption
374,363,2,15,monthly,885.00,2026-06-30,,active,
375,364,3,50,annual,4125.00,2025-02-13,,active,
376,365,1,6,monthly,0.00,2025-10-13,2026-08-24,cancelled,price
377,366,3,33,monthly,3267.00,2024-09-10,,active,
378,367,1,10,monthly,0.00,2023-07-05,2023-10-25,cancelled,price
379,368,3,24,monthly,2376.00,2024-01-31,,active,
380,369,2,21,annual,0.00,2023-06-01,2023-09-17,cancelled,low_adoption
381,369,2,14,annual,688.33,2024-05-26,,active,
382,370,2,11,monthly,0.00,2025-04-20,2025-06-25,cancelled,internal_tool
383,371,4,15,annual,1862.50,2024-10-29,,active,
384,372,4,125,annual,15520.83,2026-07-20,,active,
385,373,1,10,monthly,0.00,2025-07-04,2025-11-23,cancelled,missing_features
386,374,3,17,annual,1402.50,2025-12-24,,active,
387,375,1,10,monthly,0.00,2024-11-24,2025-12-25,cancelled,internal_tool
388,376,2,8,monthly,0.00,2025-02-11,2025-12-12,cancelled,missing_features
389,377,4,10,annual,1241.67,2022-09-29,,active,
390,378,1,6,monthly,174.00,2026-07-16,,active,
391,379,2,50,annual,2458.33,2024-06-11,,active,
392,380,1,4,monthly,116.00,2026-07-26,,active,
393,381,1,10,monthly,0.00,2025-07-13,2025-10-17,cancelled,low_adoption
394,382,2,16,annual,786.67,2022-08-06,,active,
395,383,4,30,annual,3725.00,2026-04-07,,active,
396,384,3,35,annual,0.00,2025-03-14,2025-08-24,cancelled,low_adoption
397,384,3,27,monthly,2673.00,2025-11-19,,active,
398,385,2,8,monthly,472.00,2024-09-15,,active,
399,386,3,18,annual,1485.00,2025-12-17,,active,
400,387,3,20,annual,1650.00,2025-10-13,,active,
401,388,2,11,annual,540.83,2025-06-09,,active,
402,389,3,11,monthly,0.00,2024-01-24,2025-04-13,cancelled,low_adoption
403,390,2,10,monthly,590.00,2024-10-14,,active,
404,391,2,6,annual,295.00,2026-08-14,,active,
405,392,4,279,annual,34642.50,2026-01-15,,active,
406,393,3,37,monthly,0.00,2024-12-05,2025-03-06,cancelled,missing_features
407,394,4,386,annual,47928.33,2024-06-06,,active,
408,395,3,38,annual,3135.00,2025-09-10,,active,
409,396,3,2,monthly,198.00,2025-02-05,,active,
410,397,4,155,annual,0.00,2023-10-12,2024-01-21,cancelled,internal_tool
411,398,2,4,monthly,236.00,2024-08-31,,active,
412,399,2,3,annual,0.00,2025-10-05,2026-03-15,cancelled,price
413,400,3,395,annual,32587.50,2026-06-13,,active,
414,401,3,14,monthly,1386.00,2024-06-24,,active,
415,402,1,9,monthly,261.00,2025-06-28,,active,
416,403,4,177,annual,21977.50,2026-03-02,,active,
417,404,2,20,annual,0.00,2025-06-26,2026-03-08,cancelled,low_adoption
418,405,3,5,monthly,0.00,2023-10-21,2025-05-16,cancelled,low_adoption
419,406,2,7,monthly,0.00,2023-06-08,2025-12-26,cancelled,internal_tool
420,407,2,50,annual,2458.33,2022-12-07,,active,
421,408,2,4,monthly,0.00,2025-10-24,2026-03-13,cancelled,internal_tool
422,409,2,50,annual,2458.33,2024-09-15,,active,
423,410,2,28,annual,1376.67,2025-08-26,,active,
424,411,2,50,monthly,2950.00,2026-03-14,,active,
425,412,2,11,monthly,649.00,2023-05-08,,active,
426,413,2,25,monthly,0.00,2025-02-24,2025-12-10,cancelled,internal_tool
427,414,2,8,annual,393.33,2024-11-13,,active,
428,415,1,4,monthly,116.00,2026-07-28,,active,
429,416,3,33,annual,2722.50,2025-11-29,,active,
430,417,1,2,monthly,58.00,2025-09-22,,active,
431,418,3,34,annual,0.00,2023-08-02,2024-07-09,cancelled,price
432,419,1,3,monthly,87.00,2026-08-10,,active,
433,420,2,2,monthly,0.00,2024-11-04,2026-02-22,cancelled,missing_features
434,421,4,139,annual,17259.17,2023-07-20,,active,
435,422,3,7,monthly,693.00,2024-07-23,,active,
436,423,4,15,annual,1862.50,2025-12-18,,active,
437,424,4,224,annual,27813.33,2023-09-28,,active,
438,425,3,19,monthly,1881.00,2026-08-28,,active,
439,426,1,10,monthly,290.00,2024-09-27,,active,
440,427,1,5,monthly,145.00,2024-09-12,,active,
441,428,2,9,monthly,531.00,2025-04-16,,active,
442,429,1,7,monthly,203.00,2026-06-30,,active,
443,430,3,29,monthly,2871.00,2026-01-24,,active,
444,431,2,26,annual,0.00,2025-09-13,2026-02-12,cancelled,price
445,432,4,30,annual,0.00,2023-12-21,2026-03-30,cancelled,missing_features
446,433,3,4,monthly,396.00,2024-11-01,,active,
447,434,4,423,annual,52522.50,2023-06-14,,active,
448,435,2,9,monthly,531.00,2025-06-04,,active,
449,436,2,8,monthly,472.00,2025-09-15,,active,
