ticket_id,ticket_number,customer_id,subscription_id,opened_at,resolved_at,status,category,priority,channel,assignee,first_response_hours,csat_score
136,TCK-000136,18,20,2026-07-03,2026-07-03,solved,onboarding,low,in_app,emma.cole,1,
137,TCK-000137,18,20,2026-08-16,2026-08-16,solved,billing,low,in_app,ava.nguyen,1,
138,TCK-000138,18,20,2026-07-31,2026-07-31,solved,how_to,urgent,email,priya.shah,1,
139,TCK-000139,18,20,2026-07-01,2026-07-01,solved,billing,high,email,emma.cole,1,
140,TCK-000140,18,20,2026-06-30,2026-06-30,closed,how_to,urgent,email,ava.nguyen,4,
141,TCK-000141,18,20,2026-08-24,2026-08-24,solved,bug,medium,email,priya.shah,1,
142,TCK-000142,19,,2026-05-10,2026-05-11,solved,how_to,medium,email,emma.cole,3,
143,TCK-000143,19,21,2025-11-07,2025-11-07,solved,onboarding,low,email,ava.nguyen,1,5
144,TCK-000144,19,21,2026-03-05,2026-03-05,solved,bug,medium,in_app,emma.cole,1,4
145,TCK-000145,19,21,2025-09-24,2025-09-24,solved,bug,high,phone,marcus.holm,1,
146,TCK-000146,20,23,2026-08-24,2026-08-24,solved,bug,medium,email,ava.nguyen,1,
147,TCK-000147,20,23,2026-06-04,2026-06-04,solved,how_to,medium,email,marcus.holm,1,4
148,TCK-000148,20,23,2026-07-07,2026-07-07,solved,feature_request,medium,in_app,jonas.becker,1,
149,TCK-000149,20,23,2026-06-22,2026-06-22,solved,feature_request,medium,email,emma.cole,1,3
150,TCK-000150,21,24,2026-06-20,2026-06-21,solved,bug,medium,chat,ava.nguyen,7,
151,TCK-000151,21,24,2026-05-14,,open,feature_request,medium,email,marcus.holm,,
152,TCK-000152,22,25,2023-11-23,,open,onboarding,urgent,email,priya.shah,24,
153,TCK-000153,22,25,2023-09-27,2023-09-27,solved,billing,high,chat,emma.cole,1,4
154,TCK-000154,23,26,2022-12-18,2022-12-18,solved,billing,low,in_app,priya.shah,1,
155,TCK-000155,23,26,2022-12-02,2022-12-02,solved,billing,medium,email,marcus.holm,2,
156,TCK-000156,23,26,2023-03-13,2023-03-13,solved,bug,low,in_app,priya.shah,1,
157,TCK-000157,23,26,2022-12-15,2022-12-15,solved,onboarding,low,in_app,emma.cole,3,
158,TCK-000158,24,27,2023-12-08,2023-12-08,solved,how_to,medium,in_app,jonas.becker,1,
159,TCK-000159,24,27,2024-02-11,,open,billing,medium,in_app,jonas.becker,,
160,TCK-000160,24,27,2024-04-21,2024-04-21,solved,billing,high,in_app,jonas.becker,1,
161,TCK-000161,24,27,2023-01-17,2023-01-17,solved,how_to,urgent,in_app,marcus.holm,1,
162,TCK-000162,24,27,2025-01-23,,open,bug,medium,phone,marcus.holm,8,
163,TCK-000163,24,27,2023-12-22,2023-12-22,solved,feature_request,low,email,marcus.holm,1,5
164,TCK-000164,24,27,2023-04-23,2023-04-23,solved,billing,low,email,priya.shah,2,2
165,TCK-000165,24,27,2023-07-04,2023-07-04,solved,onboarding,low,email,jonas.becker,3,
166,TCK-000166,25,28,2025-05-24,2025-05-24,solved,outage,urgent,in_app,emma.cole,1,
167,TCK-000167,25,28,2025-11-27,2025-11-27,solved,how_to,medium,chat,marcus.holm,5,
168,TCK-000168,25,28,2025-05-05,2025-05-05,solved,bug,medium,chat,emma.cole,2,3
169,TCK-000169,26,29,2026-02-24,2026-02-24,closed,bug,medium,phone,jonas.becker,1,1
170,TCK-000170,26,29,2026-05-27,2026-05-27,solved,bug,medium,email,emma.cole,1,
171,TCK-000171,27,,2025-07-06,2025-07-06,solved,how_to,high,email,ava.nguyen,1,
172,TCK-000172,27,30,2025-03-02,2025-03-02,solved,how_to,medium,in_app,jonas.becker,1,1
173,TCK-000173,27,31,2026-08-30,2026-08-30,closed,feature_request,high,email,priya.shah,2,3
174,TCK-000174,27,,2025-09-27,2025-09-27,solved,how_to,high,in_app,marcus.holm,1,2
175,TCK-000175,27,30,2025-03-20,2025-03-20,solved,feature_request,medium,chat,jonas.becker,2,
176,TCK-000176,27,,2025-05-22,2025-05-22,closed,how_to,medium,in_app,emma.cole,3,3
177,TCK-000177,27,30,2025-03-08,2025-03-08,closed,how_to,medium,chat,jonas.becker,1,
178,TCK-000178,27,,2025-08-21,2025-08-21,solved,onboarding,medium,in_app,priya.shah,1,
179,TCK-000179,27,30,2025-03-23,2025-03-23,solved,how_to,low,email,jonas.becker,2,
180,TCK-000180,27,30,2025-05-08,2025-05-08,solved,how_to,high,email,jonas.becker,1,4
181,TCK-000181,27,30,2025-01-31,2025-01-31,solved,feature_request,low,chat,jonas.becker,5,
182,TCK-000182,27,31,2026-04-09,2026-04-09,solved,feature_request,medium,email,ava.nguyen,1,3
183,TCK-000183,27,,2025-07-20,2025-07-20,solved,how_to,medium,in_app,jonas.becker,2,5
184,TCK-000184,27,31,2026-02-03,2026-02-03,solved,feature_request,medium,email,marcus.holm,1,4
185,TCK-000185,27,30,2025-04-07,2025-04-07,solved,bug,low,in_app,priya.shah,1,
186,TCK-000186,27,,2025-11-07,2025-11-07,solved,bug,medium,email,priya.shah,1,
187,TCK-000187,27,31,2026-02-17,2026-02-17,solved,how_to,low,in_app,emma.cole,1,
188,TCK-000188,27,31,2026-08-29,,open,feature_request,medium,email,jonas.becker,8,
189,TCK-000189,27,30,2025-01-27,2025-01-27,closed,bug,high,in_app,ava.nguyen,1,3
190,TCK-000190,27,,2025-06-26,2025-06-26,closed,how_to,medium,email,marcus.holm,2,
191,TCK-000191,27,30,2024-07-01,2024-07-01,solved,how_to,high,in_app,ava.nguyen,1,
192,TCK-000192,27,,2025-05-14,2025-05-20,solved,how_to,low,email,marcus.holm,36,
193,TCK-000193,28,32,2026-01-20,2026-01-20,solved,feature_request,low,email,marcus.holm,1,
194,TCK-000194,28,32,2026-04-15,,open,how_to,urgent,email,emma.cole,4,
195,TCK-000195,28,32,2025-10-15,2025-10-15,solved,how_to,medium,chat,emma.cole,4,
196,TCK-000196,29,33,2025-10-16,2025-10-18,solved,bug,low,in_app,ava.nguyen,10,
197,TCK-000197,29,33,2025-09-01,2025-09-02,solved,billing,low,chat,marcus.holm,5,5
198,TCK-000198,30,34,2025-04-10,2025-04-10,closed,bug,low,email,marcus.holm,1,
199,TCK-000199,30,34,2025-05-05,2025-05-05,solved,feature_request,medium,email,priya.shah,5,4
200,TCK-000200,30,34,2026-02-21,2026-02-21,solved,how_to,high,in_app,jonas.becker,1,5
201,TCK-000201,30,34,2025-07-11,2025-07-11,solved,bug,medium,in_app,priya.shah,3,
202,TCK-000202,30,34,2025-11-29,2025-11-30,solved,bug,medium,email,ava.nguyen,6,2
203,TCK-000203,30,34,2025-10-21,2025-10-22,solved,bug,medium,chat,jonas.becker,5,1
204,TCK-000204,30,34,2025-03-28,2025-03-28,closed,how_to,medium,email,emma.cole,1,
205,TCK-000205,30,34,2026-02-13,2026-02-13,solved,how_to,low,chat,emma.cole,1,
206,TCK-000206,30,34,2025-07-11,2025-07-12,solved,onboarding,medium,in_app,marcus.holm,4,
207,TCK-000207,30,34,2025-04-25,2025-04-25,solved,bug,urgent,in_app,marcus.holm,1,5
208,TCK-000208,30,34,2025-09-30,2025-10-02,closed,bug,low,email,emma.cole,17,
209,TCK-000209,31,35,2023-09-29,2023-09-29,closed,feature_request,medium,email,jonas.becker,1,5
210,TCK-000210,31,35,2024-06-17,,open,how_to,medium,in_app,marcus.holm,4,
211,TCK-000211,31,35,2026-05-25,2026-05-25,solved,feature_request,medium,email,emma.cole,3,3
212,TCK-000212,31,35,2024-04-20,2024-04-20,solved,how_to,medium,chat,priya.shah,1,5
213,TCK-000213,31,35,2026-07-02,2026-07-02,solved,billing,medium,chat,jonas.becker,1,5
214,TCK-000214,31,35,2023-12-15,2023-12-16,solved,how_to,low,in_app,priya.shah,4,
215,TCK-000215,31,35,2025-10-27,2025-10-27,solved,bug,medium,in_app,ava.nguyen,1,2
216,TCK-000216,31,35,2025-07-30,2025-07-30,closed,billing,high,email,emma.cole,1,2
217,TCK-000217,31,35,2024-12-02,2024-12-02,closed,bug,low,in_app,emma.cole,2,
218,TCK-000218,31,35,2025-05-17,2025-05-17,solved,bug,high,chat,emma.cole,1,
219,TCK-000219,31,35,2024-01-24,2024-01-24,solved,billing,high,in_app,jonas.becker,1,5
220,TCK-000220,31,35,2026-07-10,2026-07-10,closed,onboarding,high,email,emma.cole,1,
221,TCK-000221,31,35,2026-04-16,2026-04-16,solved,how_to,medium,in_app,priya.shah,3,
222,TCK-000222,31,35,2025-01-07,,open,billing,low,in_app,jonas.becker,4,
223,TCK-000223,31,35,2024-08-28,2024-08-28,closed,onboarding,medium,email,jonas.becker,1,
224,TCK-000224,31,35,2023-11-30,2023-11-30,solved,bug,medium,in_app,jonas.becker,1,
225,TCK-000225,31,35,2025-06-03,2025-06-03,closed,how_to,medium,in_app,ava.nguyen,2,
226,TCK-000226,31,35,2024-06-27,2024-06-27,closed,how_to,urgent,email,jonas.becker,1,3
227,TCK-000227,31,35,2024-10-31,2024-10-31,closed,billing,medium,chat,emma.cole,1,4
228,TCK-000228,31,35,2026-06-19,2026-06-19,solved,feature_request,medium,email,marcus.holm,1,
229,TCK-000229,31,35,2024-10-12,2024-10-12,solved,bug,low,chat,marcus.holm,1,5
230,TCK-000230,31,35,2025-02-24,2025-02-25,closed,how_to,medium,chat,marcus.holm,5,
231,TCK-000231,31,35,2025-08-06,2025-08-06,solved,billing,high,in_app,jonas.becker,1,5
232,TCK-000232,31,35,2025-10-12,2025-10-13,solved,bug,medium,phone,ava.nguyen,8,3
233,TCK-000233,31,35,2024-10-14,2024-10-14,closed,feature_request,low,chat,ava.nguyen,1,5
234,TCK-000234,31,35,2026-08-08,2026-08-08,closed,bug,urgent,email,emma.cole,1,
235,TCK-000235,31,35,2025-02-14,2025-02-14,closed,bug,medium,email,marcus.holm,1,
236,TCK-000236,31,35,2024-09-24,2024-09-24,solved,how_to,medium,chat,priya.shah,1,
237,TCK-000237,31,35,2023-11-15,2023-11-16,solved,how_to,low,email,jonas.becker,1,
238,TCK-000238,31,35,2026-06-04,2026-06-04,solved,bug,medium,email,priya.shah,1,
239,TCK-000239,31,35,2026-05-21,,open,bug,medium,email,emma.cole,8,
240,TCK-000240,31,35,2026-05-25,2026-05-25,solved,billing,medium,chat,priya.shah,1,4
241,TCK-000241,31,35,2025-06-05,2025-06-05,closed,how_to,medium,email,priya.shah,1,
242,TCK-000242,31,35,2024-02-20,2024-02-20,closed,bug,medium,in_app,emma.cole,1,
243,TCK-000243,31,35,2026-07-06,2026-07-06,closed,how_to,urgent,email,ava.nguyen,1,3
244,TCK-000244,32,36,2025-04-07,2025-04-08,solved,how_to,medium,chat,jonas.becker,7,5
245,TCK-000245,32,36,2024-08-07,,open,onboarding,high,in_app,marcus.holm,24,
246,TCK-000246,32,36,2026-03-12,2026-03-12,closed,how_to,medium,phone,emma.cole,1,5
247,TCK-000247,32,36,2025-03-11,2025-03-11,closed,how_to,medium,email,marcus.holm,1,
248,TCK-000248,32,36,2025-09-13,2025-09-14,solved,onboarding,medium,in_app,jonas.becker,8,
249,TCK-000249,32,36,2026-06-09,2026-06-09,solved,feature_request,low,chat,emma.cole,1,
250,TCK-000250,32,36,2025-03-26,2025-03-26,solved,feature_request,low,email,jonas.becker,1,
251,TCK-000251,32,36,2025-03-02,2025-03-02,solved,how_to,medium,chat,marcus.holm,1,5
252,TCK-000252,32,36,2026-08-13,2026-08-13,solved,feature_request,urgent,email,ava.nguyen,1,
253,TCK-000253,32,36,2025-04-19,2025-04-19,solved,how_to,high,email,priya.shah,1,
254,TCK-000254,32,36,2026-01-18,2026-01-18,solved,billing,medium,in_app,jonas.becker,5,
255,TCK-000255,32,36,2024-12-17,2024-12-17,solved,how_to,medium,email,jonas.becker,6,
256,TCK-000256,32,36,2026-07-24,2026-07-24,closed,billing,medium,email,ava.nguyen,1,4
257,TCK-000257,32,36,2025-07-11,,open,how_to,medium,email,marcus.holm,24,
258,TCK-000258,32,36,2026-07-22,2026-07-22,closed,bug,low,email,priya.shah,1,
259,TCK-000259,32,36,2025-10-31,2025-10-31,solved,how_to,high,in_app,marcus.holm,1,4
260,TCK-000260,32,36,2024-06-17,,open,how_to,low,email,ava.nguyen,4,
261,TCK-000261,32,36,2026-05-29,,open,how_to,medium,in_app,jonas.becker,4,
262,TCK-000262,32,36,2025-03-24,2025-03-24,solved,how_to,medium,chat,jonas.becker,1,3
263,TCK-000263,32,36,2024-09-07,2024-09-07,solved,feature_request,low,email,jonas.becker,1,5
264,TCK-000264,32,36,2024-08-19,2024-08-19,closed,how_to,low,email,marcus.holm,3,
265,TCK-000265,32,36,2025-09-02,2025-09-02,solved,billing,medium,phone,priya.shah,4,
266,TCK-000266,32,36,2025-12-23,2025-12-23,solved,bug,medium,in_app,marcus.holm,1,3
267,TCK-000267,32,36,2026-06-04,2026-06-04,solved,how_to,urgent,email,emma.cole,1,5
268,TCK-000268,32,36,2024-09-18,2024-09-18,solved,feature_request,low,email,jonas.becker,2,
269,TCK-000269,32,36,2024-12-21,2024-12-21,solved,bug,low,in_app,ava.nguyen,1,
270,TCK-000270,32,36,2025-07-12,2025-07-12,solved,bug,high,email,jonas.becker,1,
271,TCK-000271,32,36,2025-08-21,2025-08-21,solved,how_to,medium,phone,priya.shah,2,3
272,TCK-000272,32,36,2026-06-16,2026-06-16,solved,feature_request,medium,email,ava.nguyen,1,
273,TCK-000273,32,36,2026-08-24,2026-08-27,solved,feature_request,low,email,emma.cole,4,4
274,TCK-000274,32,36,2026-01-06,2026-01-06,solved,how_to,medium,email,emma.cole,1,
275,TCK-000275,32,36,2026-02-11,2026-02-11,solved,how_to,low,email,ava.nguyen,1,1
276,TCK-000276,32,36,2026-07-01,2026-07-02,solved,billing,medium,in_app,marcus.holm,12,
277,TCK-000277,32,36,2025-10-07,2025-10-07,closed,bug,medium,in_app,priya.shah,1,
278,TCK-000278,32,36,2026-05-13,2026-05-14,solved,bug,low,email,jonas.becker,12,
279,TCK-000279,32,36,2024-10-10,2024-10-10,solved,bug,medium,in_app,jonas.becker,1,2
280,TCK-000280,32,36,2024-05-28,2024-05-30,solved,bug,medium,email,jonas.becker,8,
281,TCK-000281,32,36,2025-09-07,2025-09-07,solved,billing,low,chat,marcus.holm,1,
282,TCK-000282,32,36,2025-07-09,2025-07-09,solved,how_to,high,email,emma.cole,1,4
283,TCK-000283,32,36,2026-05-20,2026-05-20,closed,feature_request,high,phone,priya.shah,1,
