trial_id,customer_id,trial_start_date,trial_end_date,converted,converted_at,acquisition_channel
85,361,2026-05-03,2026-05-17,true,2026-05-17,self_serve
86,365,2025-09-29,2025-10-13,true,2025-10-13,self_serve
87,369,2023-05-18,2023-06-01,true,2023-06-01,self_serve
88,372,2026-06-29,2026-07-20,true,2026-07-20,self_serve
89,373,2025-06-20,2025-07-04,true,2025-07-04,self_serve
90,375,2024-11-10,2024-11-24,true,2024-11-24,self_serve
91,376,2025-01-28,2025-02-11,true,2025-02-11,self_serve
92,382,2022-07-23,2022-08-06,true,2022-08-06,self_serve
93,388,2025-06-02,2025-06-09,true,2025-06-09,self_serve
94,391,2026-08-07,2026-08-14,true,2026-08-14,self_serve
95,396,2025-01-22,2025-02-05,true,2025-02-05,self_serve
96,406,2023-06-01,2023-06-08,true,2023-06-08,self_serve
97,408,2025-10-03,2025-10-24,true,2025-10-24,self_serve
98,409,2024-09-01,2024-09-15,true,2024-09-15,self_serve
99,419,2026-08-03,2026-08-10,true,2026-08-10,self_serve
100,427,2024-08-29,2024-09-12,true,2024-09-12,self_serve
101,436,2025-09-01,2025-09-15,true,2025-09-15,self_serve
102,437,2023-10-16,2023-10-30,true,2023-10-30,self_serve
103,442,2025-01-31,2025-02-14,true,2025-02-14,self_serve
104,444,2025-08-05,2025-08-12,true,2025-08-12,self_serve
105,454,2024-05-15,2024-05-29,true,2024-05-29,self_serve
106,458,2024-05-01,2024-05-22,true,2024-05-22,self_serve
107,467,2025-05-30,2025-06-13,true,2025-06-13,self_serve
108,470,2025-07-21,2025-08-11,true,2025-08-11,self_serve
109,471,2023-06-19,2023-07-10,true,2023-07-10,self_serve
110,475,2026-03-03,2026-03-24,true,2026-03-24,self_serve
111,479,2023-11-18,2023-12-02,true,2023-12-02,self_serve
112,481,2024-11-04,2024-11-18,false,,self_serve
113,482,2025-08-04,2025-08-18,false,,self_serve
114,483,2023-02-16,2023-03-02,false,,self_serve
115,484,2022-08-28,2022-09-11,false,,self_serve
116,485,2023-03-24,2023-04-07,false,,self_serve
117,486,2023-04-19,2023-05-03,false,,self_serve
118,487,2023-08-28,2023-09-11,false,,self_serve
119,488,2024-03-07,2024-03-21,false,,self_serve
120,489,2026-04-21,2026-05-05,false,,self_serve
121,490,2025-04-05,2025-04-19,false,,self_serve
122,491,2025-05-31,2025-06-14,false,,self_serve
123,492,2025-01-31,2025-02-14,false,,self_serve
124,493,2026-05-20,2026-06-03,false,,self_serve
125,494,2025-07-06,2025-07-20,false,,self_serve
126,495,2025-08-01,2025-08-15,false,,self_serve
127,496,2025-06-07,2025-06-21,false,,self_serve
128,497,2026-02-27,2026-03-13,false,,self_serve
129,498,2026-04-28,2026-05-12,false,,self_serve
130,499,2023-09-22,2023-10-06,false,,self_serve
131,500,2025-02-07,2025-02-21,false,,self_serve
132,501,2025-12-12,2025-12-26,false,,self_serve
133,502,2025-06-22,2025-07-06,false,,self_serve
134,503,2024-01-09,2024-01-23,false,,self_serve
135,504,2026-08-02,2026-08-16,false,,self_serve
136,505,2024-12-12,2024-12-26,false,,self_serve
137,506,2024-01-11,2024-01-25,false,,self_serve
138,507,2025-12-02,2025-12-16,false,,self_serve
139,508,2025-11-29,2025-12-13,false,,self_serve
140,509,2023-07-15,2023-07-29,false,,self_serve
141,510,2024-06-11,2024-06-25,false,,self_serve
142,511,2024-03-20,2024-04-03,false,,self_serve
143,512,2022-12-01,2022-12-15,false,,self_serve
144,513,2024-05-29,2024-06-12,false,,self_serve
145,514,2025-12-08,2025-12-22,false,,self_serve
146,515,2026-06-19,2026-07-03,false,,self_serve
147,516,2023-07-06,2023-07-20,false,,self_serve
148,517,2026-04-04,2026-04-18,false,,self_serve
149,518,2025-12-18,2026-01-01,false,,self_serve
150,519,2025-11-28,2025-12-12,false,,self_serve
151,520,2023-09-25,2023-10-09,false,,self_serve
152,521,2025-01-11,2025-01-25,false,,self_serve
153,522,2025-09-27,2025-10-11,false,,self_serve
154,523,2024-03-10,2024-03-24,false,,self_serve
155,524,2024-12-21,2025-01-04,false,,self_serve
156,525,2026-05-10,2026-05-24,false,,self_serve
157,526,2023-04-23,2023-05-07,false,,self_serve
158,527,2025-05-30,2025-06-13,false,,self_serve
159,528,2025-02-06,2025-02-20,false,,self_serve
160,529,2024-05-24,2024-06-07,false,,self_serve
161,530,2025-09-24,2025-10-08,false,,self_serve
162,531,2024-10-22,2024-11-05,false,,self_serve
163,532,2025-12-24,2026-01-07,false,,self_serve
164,533,2023-04-18,2023-05-02,false,,self_serve
165,534,2025-01-03,2025-01-17,false,,self_serve
166,535,2023-03-06,2023-03-20,false,,self_serve
167,536,2025-02-10,2025-02-24,false,,self_serve
168,537,2023-07-02,2023-07-16,false,,self_serve
169,538,2024-09-30,2024-10-14,false,,self_serve
170,539,2026-08-12,2026-08-26,false,,self_serve
171,540,2025-04-28,2025-05-12,false,,self_serve
172,541,2025-11-12,2025-11-26,false,,self_serve
173,542,2026-06-28,2026-07-12,false,,self_serve
174,543,2023-09-28,2023-10-12,false,,self_serve
175,544,2025-08-29,2025-09-12,false,,self_serve
176,545,2022-08-22,2022-09-05,false,,self_serve
177,546,2025-08-17,2025-08-31,false,,self_serve
178,547,2026-06-01,2026-06-15,false,,self_serve
179,548,2025-03-07,2025-03-21,false,,self_serve
180,549,2025-06-13,2025-06-27,false,,self_serve
181,550,2025-09-05,2025-09-19,false,,self_serve
182,551,2023-11-20,2023-12-04,false,,self_serve
183,552,2024-06-23,2024-07-07,false,,self_serve
184,553,2024-03-13,2024-03-27,false,,self_serve
185,554,2024-12-11,2024-12-25,false,,self_serve
186,555,2025-09-17,2025-10-01,false,,self_serve
187,556,2024-05-16,2024-05-30,false,,self_serve
188,557,2022-11-25,2022-12-09,false,,self_serve
189,558,2026-06-28,2026-07-12,false,,self_serve
190,559,2023-03-21,2023-04-04,false,,self_serve
191,560,2023-06-26,2023-07-10,false,,self_serve
192,561,2025-09-14,2025-09-28,false,,self_serve
193,562,2023-12-26,2024-01-09,false,,self_serve
194,563,2025-01-30,2025-02-13,false,,self_serve
195,564,2023-04-19,2023-05-03,false,,self_serve
196,565,2026-03-15,2026-03-29,false,,self_serve
197,566,2026-07-23,2026-08-06,false,,self_serve
198,567,2025-11-05,2025-11-19,false,,self_serve
199,568,2023-02-19,2023-03-05,false,,self_serve
200,569,2023-05-22,2023-06-05,false,,self_serve
201,570,2024-05-18,2024-06-01,false,,self_serve
