subscription_history_id,subscription_id,customer_id,plan_id,seats,billing_interval,mrr,status,valid_from,valid_to,is_current
108,51,47,4,353,annual,43830.83,active,2026-01-10,2026-02-05,false
109,51,47,4,430,annual,53391.67,active,2026-02-05,9999-12-31,true
110,52,48,3,4,monthly,396.00,active,2025-03-31,2026-02-16,false
111,53,49,3,292,annual,24090.00,active,2026-06-22,9999-12-31,true
112,54,50,2,4,monthly,236.00,active,2023-11-02,2025-03-06,false
113,54,50,2,5,monthly,295.00,active,2025-03-06,2026-04-24,false
114,55,51,1,10,monthly,290.00,active,2024-02-03,9999-12-31,true
115,56,52,4,266,annual,33028.33,active,2023-11-11,2024-04-09,false
116,56,52,3,266,annual,21945.00,active,2024-04-09,2024-10-21,false
117,56,52,3,294,annual,24255.00,active,2024-10-21,2026-01-07,false
118,56,52,3,322,annual,26565.00,active,2026-01-07,2026-02-07,false
119,56,52,3,379,annual,31267.50,active,2026-02-07,9999-12-31,true
120,57,53,1,10,monthly,290.00,active,2022-08-22,2023-10-27,false
121,57,53,1,9,monthly,261.00,active,2023-10-27,2024-03-01,false
122,57,53,1,10,monthly,290.00,active,2024-03-01,2024-08-19,false
123,58,54,2,12,monthly,708.00,active,2023-04-28,2023-10-26,false
124,59,55,3,4,monthly,396.00,active,2025-04-14,2026-07-02,false
125,60,56,1,4,monthly,116.00,active,2025-07-01,2025-08-01,false
126,60,56,2,4,monthly,236.00,active,2025-08-01,2026-04-05,false
127,61,57,4,30,annual,3725.00,active,2024-09-07,2025-03-23,false
128,61,57,4,33,annual,4097.50,active,2025-03-23,2025-12-15,false
129,61,57,4,38,annual,4718.33,active,2025-12-15,9999-12-31,true
130,62,58,1,7,monthly,203.00,active,2026-02-20,2026-05-15,false
131,62,58,1,8,monthly,232.00,active,2026-05-15,9999-12-31,true
132,63,59,3,17,annual,1402.50,active,2025-06-28,2025-08-06,false
133,63,59,4,17,annual,2110.83,active,2025-08-06,2026-02-18,false
134,63,59,4,20,annual,2483.33,active,2026-02-18,2026-04-07,false
135,63,59,4,22,annual,2731.67,active,2026-04-07,9999-12-31,true
136,64,60,1,5,monthly,145.00,active,2025-09-03,2026-05-16,false
137,64,60,1,4,monthly,116.00,active,2026-05-16,9999-12-31,true
138,65,61,4,146,annual,18128.33,active,2024-11-28,9999-12-31,true
139,66,62,2,22,annual,1081.67,active,2026-03-04,9999-12-31,true
140,67,63,1,2,monthly,58.00,active,2025-11-19,2026-01-13,false
141,67,63,1,3,monthly,87.00,active,2026-01-13,9999-12-31,true
142,68,64,2,12,monthly,708.00,active,2026-07-31,9999-12-31,true
143,69,65,1,9,monthly,261.00,active,2026-05-31,2026-07-25,false
144,69,65,1,7,monthly,203.00,active,2026-07-25,9999-12-31,true
145,70,66,1,5,monthly,145.00,active,2025-10-08,2026-05-07,false
146,71,67,4,176,annual,21853.33,active,2026-02-24,2026-07-26,false
147,71,67,4,150,annual,18625.00,active,2026-07-26,9999-12-31,true
148,72,68,2,48,annual,2360.00,active,2025-08-01,2026-04-06,false
149,72,68,2,50,annual,2458.33,active,2026-04-06,9999-12-31,true
150,73,69,2,11,monthly,649.00,active,2023-06-29,2024-07-21,false
151,74,70,1,10,monthly,290.00,active,2023-08-13,2023-11-26,false
152,75,71,4,70,annual,8691.67,active,2026-08-19,9999-12-31,true
153,76,72,3,5,monthly,495.00,active,2023-01-17,2023-09-22,false
154,76,72,3,6,monthly,594.00,active,2023-09-22,2023-10-30,false
155,76,72,3,7,monthly,693.00,active,2023-10-30,2024-06-27,false
156,77,73,2,4,monthly,236.00,active,2024-01-29,2024-11-28,false
157,77,73,3,4,monthly,396.00,active,2024-11-28,2024-12-08,false
158,77,73,3,5,monthly,495.00,active,2024-12-08,2025-10-24,false
159,77,73,3,6,monthly,594.00,active,2025-10-24,2025-12-13,false
160,77,73,3,7,monthly,693.00,active,2025-12-13,9999-12-31,true
161,78,74,3,10,annual,825.00,active,2023-05-19,2023-09-19,false
162,79,74,3,7,annual,577.50,active,2023-12-17,2024-09-28,false
163,80,75,1,3,monthly,87.00,active,2025-09-24,2026-01-16,false
164,81,76,4,240,annual,29800.00,active,2025-03-28,2025-09-02,false
165,81,76,3,240,annual,19800.00,active,2025-09-02,2025-11-11,false
166,81,76,3,186,annual,15345.00,active,2025-11-11,9999-12-31,true
167,82,77,3,32,monthly,3168.00,active,2024-11-06,2025-11-17,false
168,82,77,3,28,monthly,2772.00,active,2025-11-17,9999-12-31,true
169,83,78,2,4,annual,196.67,active,2023-04-30,2023-12-31,false
170,84,79,2,9,annual,442.50,active,2025-10-16,2026-01-06,false
171,84,79,2,11,annual,540.83,active,2026-01-06,2026-02-14,false
172,84,79,3,11,annual,907.50,active,2026-02-14,9999-12-31,true
173,85,80,1,6,monthly,174.00,active,2025-10-11,2026-06-24,false
174,85,80,1,7,monthly,203.00,active,2026-06-24,9999-12-31,true
175,86,81,1,7,monthly,203.00,active,2025-08-25,2026-05-19,false
176,86,81,2,7,monthly,413.00,active,2026-05-19,9999-12-31,true
177,87,82,3,20,annual,1650.00,active,2026-06-09,9999-12-31,true
178,88,83,1,10,monthly,290.00,active,2025-03-27,2025-06-30,false
179,88,83,1,8,monthly,232.00,active,2025-06-30,2026-01-14,false
180,89,84,1,2,monthly,58.00,active,2026-06-22,2026-08-30,false
181,90,85,3,8,annual,660.00,active,2023-08-05,2024-03-14,false
182,90,85,3,10,annual,825.00,active,2024-03-14,2024-06-22,false
183,90,85,3,8,annual,660.00,active,2024-06-22,2025-05-16,false
184,90,85,3,9,annual,742.50,active,2025-05-16,9999-12-31,true
185,91,86,2,17,annual,835.83,active,2024-12-03,2025-05-20,false
186,91,86,2,13,annual,639.17,active,2025-05-20,9999-12-31,true
187,92,87,2,7,monthly,413.00,active,2024-09-12,2025-01-01,false
188,92,87,3,7,monthly,693.00,active,2025-01-01,2025-02-23,false
189,93,88,3,461,annual,38032.50,active,2025-04-01,2025-08-09,false
190,93,88,3,383,annual,31597.50,active,2025-08-09,2025-09-05,false
191,93,88,3,437,annual,36052.50,active,2025-09-05,2026-07-23,false
192,93,88,3,351,annual,28957.50,active,2026-07-23,9999-12-31,true
193,94,89,3,60,monthly,5940.00,active,2025-02-04,2025-07-11,false
194,94,89,3,65,monthly,6435.00,active,2025-07-11,2025-09-23,false
195,94,89,4,65,annual,8070.83,active,2025-09-23,2026-05-07,false
196,94,89,4,69,annual,8567.50,active,2026-05-07,9999-12-31,true
197,95,90,1,5,monthly,145.00,active,2024-11-20,2026-05-14,false
198,96,91,4,106,annual,13161.67,active,2023-07-16,2024-01-12,false
199,96,91,4,117,annual,14527.50,active,2024-01-12,2024-04-08,false
200,96,91,4,141,annual,17507.50,active,2024-04-08,2025-02-28,false
201,96,91,4,110,annual,13658.33,active,2025-02-28,9999-12-31,true
202,97,92,3,4,monthly,396.00,active,2023-08-21,2023-12-20,false
203,97,92,3,5,monthly,495.00,active,2023-12-20,2024-03-04,false
204,97,92,3,6,monthly,594.00,active,2024-03-04,2024-07-26,false
205,97,92,3,7,monthly,693.00,active,2024-07-26,2024-08-01,false
206,97,92,3,8,monthly,792.00,active,2024-08-01,2024-09-10,false
207,97,92,3,10,monthly,990.00,active,2024-09-10,2024-12-11,false
208,98,93,2,50,annual,2458.33,active,2023-01-07,2023-06-24,false
209,98,93,3,50,annual,4125.00,active,2023-06-24,2024-07-20,false
210,98,93,3,59,annual,4867.50,active,2024-07-20,2024-11-26,false
211,98,93,4,59,annual,7325.83,active,2024-11-26,2025-03-02,false
212,98,93,4,63,annual,7822.50,active,2025-03-02,2025-07-02,false
213,98,93,4,68,annual,8443.33,active,2025-07-02,2026-02-10,false
214,98,93,4,76,annual,9436.67,active,2026-02-10,2026-03-26,false
215,98,93,4,88,annual,10926.67,active,2026-03-26,9999-12-31,true
216,99,94,4,148,annual,18376.67,active,2024-05-07,2024-08-09,false
217,99,94,4,160,annual,19866.67,active,2024-08-09,2025-04-22,false
218,99,94,4,185,annual,22970.83,active,2025-04-22,2026-02-19,false
219,99,94,4,202,annual,25081.67,active,2026-02-19,9999-12-31,true
220,100,95,4,227,annual,28185.83,active,2025-02-07,2025-10-07,false
221,100,95,4,250,annual,31041.67,active,2025-10-07,2026-03-26,false
222,100,95,4,294,annual,36505.00,active,2026-03-26,2026-07-25,false
223,100,95,4,228,annual,28310.00,active,2026-07-25,9999-12-31,true
224,101,96,2,8,monthly,472.00,active,2023-08-10,2024-07-04,false
225,101,96,2,9,monthly,531.00,active,2024-07-04,2024-08-06,false
226,101,96,2,10,monthly,590.00,active,2024-08-06,2024-09-10,false
227,101,96,2,11,monthly,649.00,active,2024-09-10,2025-02-23,false
228,101,96,1,10,monthly,290.00,active,2025-02-23,2026-08-17,false
229,101,96,1,8,monthly,232.00,active,2026-08-17,9999-12-31,true
230,102,97,4,209,annual,25950.83,active,2023-11-19,2024-11-15,false
231,102,97,4,243,annual,30172.50,active,2024-11-15,2025-05-13,false
232,102,97,4,290,annual,36008.33,active,2025-05-13,9999-12-31,true
233,103,98,1,4,monthly,116.00,active,2024-11-22,2025-01-06,false
234,103,98,1,5,monthly,145.00,active,2025-01-06,2025-05-14,false
235,103,98,1,6,monthly,174.00,active,2025-05-14,9999-12-31,true
236,104,99,3,8,monthly,792.00,active,2026-05-30,2026-06-07,false
237,104,99,3,9,monthly,891.00,active,2026-06-07,9999-12-31,true
238,105,100,1,3,monthly,87.00,active,2024-09-05,2025-01-10,false
239,105,100,2,3,monthly,177.00,active,2025-01-10,2026-05-22,false
240,106,101,4,189,annual,23467.50,active,2024-12-13,2026-04-11,false
241,106,101,4,219,annual,27192.50,active,2026-04-11,9999-12-31,true
242,107,102,4,105,annual,13037.50,active,2025-11-24,9999-12-31,true
243,108,103,2,11,monthly,649.00,active,2025-12-16,2026-01-31,false
244,108,103,3,11,monthly,1089.00,active,2026-01-31,9999-12-31,true
245,109,104,2,6,monthly,354.00,active,2023-07-24,2023-11-14,false
246,109,104,3,6,monthly,594.00,active,2023-11-14,2024-06-11,false
247,110,105,2,21,monthly,1239.00,active,2025-08-11,2025-10-28,false
248,111,106,1,4,monthly,116.00,active,2024-08-15,2025-08-03,false
249,111,106,1,5,monthly,145.00,active,2025-08-03,2025-10-29,false
250,111,106,1,4,monthly,116.00,active,2025-10-29,9999-12-31,true
251,112,107,3,16,monthly,1584.00,active,2025-05-15,2026-02-18,false
252,112,107,3,18,monthly,1782.00,active,2026-02-18,9999-12-31,true
253,113,108,1,9,monthly,261.00,active,2026-02-18,2026-05-23,false
254,114,109,1,10,monthly,290.00,active,2025-05-22,9999-12-31,true
255,115,110,2,8,monthly,472.00,active,2024-09-09,2025-12-24,false
256,115,110,2,10,monthly,590.00,active,2025-12-24,2026-06-13,false
257,116,111,2,14,monthly,826.00,active,2025-04-12,2025-11-18,false
258,116,111,2,15,monthly,885.00,active,2025-11-18,9999-12-31,true
259,117,112,2,10,monthly,590.00,active,2024-03-30,2025-01-24,false
260,117,112,3,10,monthly,990.00,active,2025-01-24,2025-08-05,false
261,117,112,3,12,monthly,1188.00,active,2025-08-05,2026-07-03,false
262,117,112,3,13,monthly,1287.00,active,2026-07-03,2026-08-28,false
263,117,112,4,13,annual,1614.17,active,2026-08-28,9999-12-31,true
264,118,113,4,102,annual,12665.00,active,2026-04-11,9999-12-31,true
265,119,114,1,4,monthly,116.00,active,2024-06-11,2024-09-19,false
266,120,115,2,12,annual,590.00,active,2024-08-02,2024-09-26,false
267,120,115,2,11,annual,540.83,active,2024-09-26,2025-07-29,false
268,121,116,2,14,monthly,826.00,active,2025-11-03,2026-02-05,false
269,121,116,3,14,monthly,1386.00,active,2026-02-05,9999-12-31,true
270,122,117,2,18,monthly,1062.00,active,2025-01-31,2025-11-05,false
271,122,117,2,20,monthly,1180.00,active,2025-11-05,2025-12-21,false
272,122,117,3,20,monthly,1980.00,active,2025-12-21,2026-05-19,false
273,122,117,3,22,monthly,2178.00,active,2026-05-19,9999-12-31,true
274,123,118,4,611,annual,75865.83,active,2024-09-02,2025-08-28,false
275,123,118,4,729,annual,90517.50,active,2025-08-28,2025-12-01,false
276,123,118,4,805,annual,99954.17,active,2025-12-01,9999-12-31,true
277,124,119,4,202,annual,25081.67,active,2025-01-27,2026-07-04,false
278,124,119,4,229,annual,28434.17,active,2026-07-04,9999-12-31,true
279,125,120,4,25,annual,3104.17,active,2024-05-13,2024-08-28,false
280,125,120,4,22,annual,2731.67,active,2024-08-28,2025-05-26,false
281,125,120,4,25,annual,3104.17,active,2025-05-26,2025-12-26,false
282,125,120,4,23,annual,2855.83,active,2025-12-26,9999-12-31,true
283,126,121,1,10,monthly,290.00,active,2026-03-08,9999-12-31,true
284,127,122,3,307,annual,25327.50,active,2024-04-17,2024-07-30,false
285,127,122,3,273,annual,22522.50,active,2024-07-30,2025-06-22,false
286,127,122,4,273,annual,33897.50,active,2025-06-22,2026-02-08,false
287,127,122,4,330,annual,40975.00,active,2026-02-08,9999-12-31,true
288,128,123,1,10,monthly,290.00,active,2025-02-09,2026-01-12,false
289,128,123,1,9,monthly,261.00,active,2026-01-12,9999-12-31,true
290,129,124,1,10,monthly,290.00,active,2026-05-28,9999-12-31,true
291,130,125,1,7,monthly,203.00,active,2024-10-24,2025-10-04,false
292,130,125,1,8,monthly,232.00,active,2025-10-04,2026-04-10,false
293,131,126,1,9,monthly,261.00,active,2026-02-12,9999-12-31,true
294,132,127,1,10,monthly,290.00,active,2024-06-08,2024-08-31,false
295,132,127,1,8,monthly,232.00,active,2024-08-31,2024-11-11,false
296,132,127,1,9,monthly,261.00,active,2024-11-11,2024-12-16,false
297,133,128,2,27,annual,1327.50,active,2023-12-05,2024-02-08,false
298,133,128,2,24,annual,1180.00,active,2024-02-08,2024-08-05,false
299,133,128,3,24,annual,1980.00,active,2024-08-05,2025-03-26,false
300,133,128,3,29,annual,2392.50,active,2025-03-26,2025-07-08,false
301,133,128,3,35,annual,2887.50,active,2025-07-08,2026-04-10,false
302,133,128,4,35,annual,4345.83,active,2026-04-10,9999-12-31,true
303,134,129,4,123,annual,15272.50,active,2026-02-18,2026-05-09,false
304,134,129,4,102,annual,12665.00,active,2026-05-09,9999-12-31,true
305,135,130,1,4,monthly,116.00,active,2026-05-23,9999-12-31,true
306,136,131,2,7,monthly,413.00,active,2025-01-31,2025-07-31,false
307,136,131,1,7,monthly,203.00,active,2025-07-31,2026-01-19,false
308,136,131,1,8,monthly,232.00,active,2026-01-19,9999-12-31,true
309,137,132,1,6,monthly,174.00,active,2025-01-07,2025-12-13,false
310,138,133,2,26,annual,1278.33,active,2024-12-03,2025-03-25,false
311,138,133,2,31,annual,1524.17,active,2025-03-25,2025-10-02,false
312,138,133,2,35,annual,1720.83,active,2025-10-02,9999-12-31,true
313,139,134,1,7,monthly,203.00,active,2025-07-13,2025-12-04,false
314,139,134,1,6,monthly,174.00,active,2025-12-04,9999-12-31,true
315,140,135,4,612,annual,75990.00,active,2024-09-11,2025-03-14,false
316,140,135,4,662,annual,82198.33,active,2025-03-14,2026-05-17,false
317,140,135,3,662,annual,54615.00,active,2026-05-17,9999-12-31,true
318,141,136,2,8,monthly,472.00,active,2026-02-17,2026-08-18,false
319,142,137,2,9,monthly,531.00,active,2025-12-29,2026-03-16,false
320,143,138,1,2,monthly,58.00,active,2026-04-25,2026-06-03,false
321,143,138,1,3,monthly,87.00,active,2026-06-03,9999-12-31,true
322,144,139,4,34,annual,4221.67,active,2025-07-21,9999-12-31,true
323,145,140,3,112,annual,9240.00,active,2025-01-17,2025-03-26,false
324,145,140,4,112,annual,13906.67,active,2025-03-26,2025-06-13,false
325,145,140,4,132,annual,16390.00,active,2025-06-13,2026-02-24,false
326,145,140,4,108,annual,13410.00,active,2026-02-24,9999-12-31,true
327,146,141,3,3,annual,247.50,active,2023-10-30,2025-06-20,false
328,146,141,4,3,annual,372.50,active,2025-06-20,9999-12-31,true
329,147,142,2,18,monthly,1062.00,active,2026-07-05,9999-12-31,true
330,148,143,1,3,monthly,87.00,active,2026-03-24,9999-12-31,true
331,149,144,3,18,monthly,1782.00,active,2023-05-02,2025-01-14,false
332,149,144,4,18,annual,2235.00,active,2025-01-14,2026-04-30,false
333,149,144,3,18,annual,1485.00,active,2026-04-30,2026-08-30,false
334,149,144,3,22,annual,1815.00,active,2026-08-30,9999-12-31,true
335,150,145,1,10,monthly,290.00,active,2023-01-04,2023-06-02,false
336,151,146,2,27,annual,1327.50,active,2026-01-17,2026-04-19,false
337,151,146,3,27,annual,2227.50,active,2026-04-19,9999-12-31,true
338,152,147,1,2,monthly,58.00,active,2023-02-08,2025-01-18,false
339,152,147,1,3,monthly,87.00,active,2025-01-18,2025-07-23,false
340,152,147,1,4,monthly,116.00,active,2025-07-23,2026-05-31,false
341,152,147,2,4,monthly,236.00,active,2026-05-31,9999-12-31,true
342,153,148,2,38,annual,1868.33,active,2023-02-10,2023-03-13,false
343,153,148,2,44,annual,2163.33,active,2023-03-13,2023-06-13,false
344,153,148,1,10,monthly,290.00,active,2023-06-13,2025-11-16,false
345,153,148,2,10,monthly,590.00,active,2025-11-16,9999-12-31,true
346,154,149,2,30,annual,1475.00,active,2024-04-15,2025-11-29,false
347,154,149,2,33,annual,1622.50,active,2025-11-29,2025-12-03,false
348,155,150,3,56,monthly,5544.00,active,2024-10-04,2025-02-23,false
349,155,150,4,56,annual,6953.33,active,2025-02-23,2025-05-11,false
350,155,150,4,47,annual,5835.83,active,2025-05-11,2026-01-05,false
351,155,150,4,54,annual,6705.00,active,2026-01-05,9999-12-31,true
352,156,151,2,5,monthly,295.00,active,2025-07-05,2025-09-24,false
353,157,152,1,4,monthly,116.00,active,2024-01-23,2024-02-26,false
354,157,152,1,3,monthly,87.00,active,2024-02-26,2024-08-31,false
355,157,152,2,3,monthly,177.00,active,2024-08-31,2025-02-05,false
356,157,152,2,4,monthly,236.00,active,2025-02-05,2025-09-15,false
357,157,152,2,5,monthly,295.00,active,2025-09-15,2025-11-30,false
358,157,152,2,4,monthly,236.00,active,2025-11-30,2026-05-03,false
359,157,152,1,4,monthly,116.00,active,2026-05-03,2026-07-28,false
360,157,152,2,4,monthly,236.00,active,2026-07-28,9999-12-31,true
361,158,153,1,7,monthly,203.00,active,2023-10-29,2023-12-31,false
362,158,153,1,8,monthly,232.00,active,2023-12-31,2024-01-25,false
363,158,153,1,9,monthly,261.00,active,2024-01-25,2024-05-16,false
364,158,153,1,10,monthly,290.00,active,2024-05-16,2024-11-16,false
365,159,154,1,2,monthly,58.00,active,2026-03-11,2026-05-25,false
366,160,155,1,7,monthly,203.00,active,2024-09-09,2024-10-15,false
367,160,155,1,6,monthly,174.00,active,2024-10-15,2024-12-15,false
368,160,155,2,6,monthly,354.00,active,2024-12-15,2025-11-06,false
369,161,156,3,5,annual,412.50,active,2025-03-21,2025-06-02,false
370,161,156,3,6,annual,495.00,active,2025-06-02,2025-08-06,false
371,161,156,3,7,annual,577.50,active,2025-08-06,2025-12-31,false
372,161,156,3,8,annual,660.00,active,2025-12-31,2026-06-21,false
373,161,156,4,8,annual,993.33,active,2026-06-21,9999-12-31,true
374,162,157,4,250,annual,31041.67,active,2025-12-22,2026-04-03,false
375,162,157,4,293,annual,36380.83,active,2026-04-03,9999-12-31,true
376,163,158,1,10,monthly,290.00,active,2026-05-21,2026-07-28,false
377,164,159,2,13,annual,639.17,active,2025-10-04,2026-06-23,false
378,164,159,2,15,annual,737.50,active,2026-06-23,9999-12-31,true
379,165,160,2,6,annual,295.00,active,2025-08-24,2025-12-12,false
380,165,160,1,6,monthly,174.00,active,2025-12-12,9999-12-31,true
381,166,161,2,8,monthly,472.00,active,2026-06-25,2026-07-29,false
382,166,161,2,9,monthly,531.00,active,2026-07-29,9999-12-31,true
383,167,162,1,10,monthly,290.00,active,2026-01-16,2026-08-26,false
384,168,163,2,27,annual,1327.50,active,2024-10-06,2025-05-02,false
385,169,164,1,9,monthly,261.00,active,2025-04-13,2026-08-19,false
386,169,164,1,10,monthly,290.00,active,2026-08-19,9999-12-31,true
